id,reference_path,search_path,gt_x,gt_y,gt_box_x,gt_box_y,gt_box_w,gt_box_h,architecture,beam_spot_size_nm,collapse_threshold_nm,dose_reference,dose_search,shear_amplitude_px,drift_jitter_px,astigmatism_ratio,vignette_strength,gamma,barrel_distortion_k,charging_streak_prob,charging_streak_intensity,speckle_sigma,salt_pepper_prob,linewidth_bias_nm,corner_rounding_px,mat_size_nm,strip_width_nm,boundary_bias,polygon_rotation_deg,stage_tilt_deg,seed
0,./output/dram30/train/reference/00000.png,./output/dram30/train/search/00000.png,203.6,840.4,153.6,790.4,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.0,0.0,191664963
1,./output/dram30/train/reference/00001.png,./output/dram30/train/search/00001.png,898.2,499.4,848.2,449.4,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.0,0.0,1662057957
2,./output/dram30/train/reference/00002.png,./output/dram30/train/search/00002.png,459.9,193.4,409.9,143.4,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,1.5,0.0,1405681631
3,./output/dram30/train/reference/00003.png,./output/dram30/train/search/00003.png,618.2,916.1,568.2,866.1,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,2.5,0.0,942484272
4,./output/dram30/train/reference/00004.png,./output/dram30/train/search/00004.png,93.4,414.8,43.4,364.8,100,100,dram_1x,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,3.0,0.0,929893137
5,./output/dram30/train/reference/00005.png,./output/dram30/train/search/00005.png,698.6,927.4,648.6,877.4,100,100,dram_dense,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.0,0.0,1843824992
6,./output/dram30/train/reference/00006.png,./output/dram30/train/search/00006.png,221.4,490.0,171.4,440.0,100,100,dram_dense,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,0.0,0.0,184566854
7,./output/dram30/train/reference/00007.png,./output/dram30/train/search/00007.png,291.6,300.7,241.6,250.7,100,100,dram_dense,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,1.5,0.0,1497586438
8,./output/dram30/train/reference/00008.png,./output/dram30/train/search/00008.png,804.2,472.1,754.2,422.1,100,100,dram_dense,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,2.5,0.0,432652533
9,./output/dram30/train/reference/00009.png,./output/dram30/train/search/00009.png,114.8,556.9,64.8,506.9,100,100,dram_dense,5.0,10.0,2000.0,200.0,1.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,320.0,0.35,3.0,0.0,202244314
